Content,Label
Jul 28 00:45:10 localhost systemd[1]: systemd-logind.service: Failed with result 'timeout'. ;-; Jul 28 00:45:10 localhost systemd[1]: Failed to start Login Service.,1
"Jul 29 08:34:05 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:34:05 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:34:05 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:34:05 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:34:06 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found.",1
Jul 29 08:34:28 localhost systemd[1]: Failed to start OpenSSH server daemon. ;-; Jul 29 08:34:28 localhost systemd[1]: Unit sshd.service entered failed state. ;-; Jul 29 08:34:28 localhost systemd[1]: sshd.service failed.,1
Jul 29 08:37:23 localhost systemd[1]: Failed to start OpenSSH server daemon. ;-; Jul 29 08:37:23 localhost systemd[1]: Unit sshd.service entered failed state. ;-; Jul 29 08:37:23 localhost systemd[1]: sshd.service failed.,1
Jul 29 08:38:05 localhost systemd[1]: Failed to start OpenSSH server daemon. ;-; Jul 29 08:38:05 localhost systemd[1]: Unit sshd.service entered failed state. ;-; Jul 29 08:38:05 localhost systemd[1]: sshd.service failed.,1
Jul 29 08:39:37 localhost systemd[1]: Failed to start OpenSSH server daemon. ;-; Jul 29 08:39:37 localhost systemd[1]: Unit sshd.service entered failed state. ;-; Jul 29 08:39:37 localhost systemd[1]: sshd.service failed.,1
Jul 29 08:41:12 localhost systemd[1]: Failed to start OpenSSH server daemon. ;-; Jul 29 08:41:12 localhost systemd[1]: Unit sshd.service entered failed state. ;-; Jul 29 08:41:12 localhost systemd[1]: sshd.service failed.,1
Jul 29 08:43:11 localhost systemd[1]: Unit rc-oracle-exadata-zero.service entered failed state. ;-; Jul 29 08:43:11 localhost systemd[1]: rc-oracle-exadata-zero.service failed.,1
Jul 29 08:44:41 localhost systemd[1]: Unit exadata-netdiag-dump.service entered failed state. ;-; Jul 29 08:44:41 localhost systemd[1]: exadata-netdiag-dump.service failed. ;-; Jul 29 08:44:41 localhost systemd[1]: Failed unmounting /var/log.,1
"Jul 29 08:46:45 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:46:45 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:46:45 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:46:45 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 08:46:46 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found.",1
Jul 29 09:01:52 localhost systemd-logind[19173]: Failed to abandon session scope: Connection reset by peer,1
Jul 29 09:02:04 localhost systemd[1]: systemd-networkd.socket failed to queue service startup job (Maybe the service file is missing or not a non-template unit?): Transaction is destructive. ;-; Jul 29 09:02:04 localhost systemd[1]: Unit systemd-networkd.socket entered failed state.,1
Jul 29 09:03:22 localhost systemd[1]: Unit exadata-netdiag-dump.service entered failed state. ;-; Jul 29 09:03:22 localhost systemd[1]: exadata-netdiag-dump.service failed. ;-; Jul 29 09:03:22 localhost systemd[1]: Failed unmounting /var/log.,1
"Jul 29 09:05:29 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:05:29 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:05:29 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:05:29 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:05:29 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found.",1
"Jul 29 09:08:16 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:08:16 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:08:16 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:08:16 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found. ;-; Jul 29 09:08:16 localhost systemd[1]: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit not found.",1
