Content,Host
Jul 28 00:43:48 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:43:48 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.,localhost
Jul 28 00:44:02 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:44:02 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.,localhost
Jul 28 01:14:30 localhost kernel: tsc: Marking TSC unstable due to TSCs unsynchronized ;-; Jul 28 01:14:30 localhost systemd-vconsole-setup[192]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument ;-; Jul 28 01:14:30 localhost kernel: tsc: Marking TSC unstable due to TSCs unsynchronized ;-; Jul 28 01:14:30 localhost systemd-vconsole-setup[192]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument ;-; Jul 28 01:14:32 localhost systemd-vconsole-setup[823]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument ;-; Jul 28 01:14:32 localhost systemd-vconsole-setup[851]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument ;-; Jul 28 01:14:32 localhost systemd-vconsole-setup[823]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument ;-; Jul 28 01:14:32 localhost systemd-vconsole-setup[851]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument,localhost
Jul 28 01:16:02 localhost systemd[1]: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 28 01:16:02 localhost systemd[1]: Dependency failed for Swap. ;-; Jul 28 01:16:02 localhost systemd[1]: swap.target: Job swap.target/start failed with result 'dependency'. ;-; Jul 28 01:16:02 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.swap: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 28 01:16:02 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.device: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'. ;-; Jul 28 01:16:02 localhost systemd[1]: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 28 01:16:02 localhost systemd[1]: Dependency failed for Swap. ;-; Jul 28 01:16:02 localhost systemd[1]: swap.target: Job swap.target/start failed with result 'dependency'. ;-; Jul 28 01:16:02 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.swap: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 28 01:16:02 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.device: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'. ;-; Jul 28 01:16:03 localhost kdumpctl[2742]: kdump: Failed to mount LABEL=DBORA for kdump preflight check. ;-; Jul 28 01:16:03 localhost kdumpctl[2568]: kdump: mkdumprd: failed to make kdump initrd ;-; Jul 28 01:16:03 localhost systemd[1]: kdump.service: Failed with result 'exit-code'. ;-; Jul 28 01:16:03 localhost systemd[1]: Failed to start Crash recovery kernel arming. ;-; Jul 28 01:16:03 localhost kdumpctl[2742]: kdump: Failed to mount LABEL=DBORA for kdump preflight check. ;-; Jul 28 01:16:03 localhost kdumpctl[2568]: kdump: mkdumprd: failed to make kdump initrd ;-; Jul 28 01:16:03 localhost systemd[1]: kdump.service: Failed with result 'exit-code'. ;-; Jul 28 01:16:03 localhost systemd[1]: Failed to start Crash recovery kernel arming.,localhost
Jul 28 01:18:03 localhost systemd[1]: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 28 01:18:03 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.swap: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 28 01:18:03 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.device: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'. ;-; Jul 28 01:18:03 localhost systemd[1]: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 28 01:18:03 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.swap: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 28 01:18:03 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.device: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'.,localhost
Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found. ;-; Jul 29 12:47:09 localhost dbus-daemon[69928]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.,localhost
Jul 29 15:35:27 localhost kernel: mlx4_core 0000:3b:00.0: mlx4_core: xen_get_host_pages failed ret = -95 #012!,localhost
Jul 29 16:09:16 localhost systemd: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 29 16:09:16 localhost systemd: Dependency failed for Swap. ;-; Jul 29 16:09:16 localhost systemd: Job swap.target/start failed with result 'dependency'. ;-; Jul 29 16:09:16 localhost systemd: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 29 16:09:16 localhost systemd: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'.,localhost
Jul 29 16:11:01 localhost systemd: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 29 16:11:01 localhost systemd: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 29 16:11:01 localhost systemd: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'.,localhost
Jul 29 16:13:44 localhost systemd: Dependency failed for /dev/disk/by-label/SWAP. ;-; Jul 29 16:13:44 localhost systemd: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'. ;-; Jul 29 16:13:44 localhost systemd: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'.,localhost
