phase,epoch,loss,acc,last_lr,steps,samples
phase1_llama,1,2.630856,0.517483,0.00008403,42,563
phase1_llama,2,1.783887,0.690141,0.00001412,84,562
phase2_projector,1,0.885635,0.802817,0.00008403,42,562
phase2_projector,2,0.435170,0.838028,0.00001412,84,562
phase2_proj_bert,1,0.338321,0.791667,0.00000840,42,564
phase2_proj_bert,2,0.272385,0.832168,0.00000141,84,563
phase3_full,1,0.205835,0.839161,0.00002450,42,563
phase3_full,2,0.119179,0.901408,0.00000840,84,562
phase3_full,3,0.105010,0.902098,0.00000412,126,563
phase3_full,4,0.098425,0.909722,0.00000141,168,564
phase1_llama,1,2.164136,0.530387,0.00008403,57,751
phase1_llama,2,1.083794,0.730769,0.00001412,114,752
phase2_projector,1,0.705272,0.679558,0.00008403,57,751
phase2_projector,2,0.410210,0.690608,0.00001412,114,751
phase2_proj_bert,1,0.264717,0.790055,0.00000840,57,751
phase2_proj_bert,2,0.174893,0.873626,0.00000141,114,752
phase3_full,1,0.128180,0.861879,0.00002450,57,751
phase3_full,2,0.075892,0.890110,0.00000840,114,752
phase3_full,3,0.067325,0.890110,0.00000412,171,752
phase3_full,4,0.062879,0.889503,0.00000141,228,751
